中温固体氧化物燃料电池NiO/YSZ阳极的还原过程	刘斌;张云;涂宝峰;柳林;董永来;程谟杰	《催化学报》	中国科学院大连化学物理研究所;中国科学院研究生院;	2008	镍;钇;氧化锆;还原;交流阻抗谱;程序升温还原;固体氧化物燃料电池
海洋重力测量中厄特弗斯改正的优化计算	张会;柳林涛;梁星辉	《海洋测绘》	中国科学院测量与地球物理研究所动力大地测量学重点实验室;	2011	海洋重力测量;厄特弗斯改正;航迹拟合;滤波;交叉点不符值
参数约束平差法	刘根友;郝晓光;柳林涛	《大地测量与地球动力学》	中国科学院测量与地球物理研究所	2006	参数约束平差;自由网平差;平差基准;数值计算;不适定问题
利用B样条确定航空重力载体加速度的方法研究	梁星辉;柳林涛;于胜杰	《武汉大学学报(信息科学版)》	中国科学院测量与地球物理研究所;中国科学院研究生院;	2009	航空矢量重力测量;B样条最小二乘;GPS速度;加速度计;计算方案;航空重力测量;样条平滑;速度数据;样条函数拟合;加速度值
地球动力学扁率与南极涛动年际变化的小波相干分析	段鹏硕;刘根友;柳林涛;涂弋	《科学通报》	中国科学院测量与地球物理研究所	2014	地球动力学扁率;南极涛动;年际变化;小波相干分析;交叉小波谱;南方涛动
中国二代卫星导航系统设计覆盖范围的探讨	郝晓光;陈晓峰;张赤军;柳林涛;胡小刚	《大地测量与地球动力学》	中国科学院测量与地球物理研究所	2007	北半球版世界地图;卫星导航系统;覆盖范围;北极方向;中国周边地区
航空重力数据向下延拓的逆泊松积分算法	卢雪盈;柳林涛;梁星辉;刘金钊	《大地测量与地球动力学》	中国科学院测量与地球物理研究所;中国科学院大学;	2015	航空重力异常;逆泊松积分;快速傅里叶变换;迭代法;向下延拓
区域GPS网检测水汽量的应用研究	王勇;柳林涛;郝晓光;肖建华;王厚之;许厚泽	《煤炭学报》	中国科学院测量与地球物理研究所	2006	连续运行卫星定位服务系统;水汽含量;对流层延迟;无线电探空
NH_4F改性MO/HZSM-5催化剂上的甲烷无氧芳构化反应:预处理温度影响的进一步研究	李永刚;黄秀敏;柳林;刘秀梅;申文杰;包信和;徐奕德	《催化学报》	中国科学院大连化学物理研究所催化基础国家重点实验室	2006	甲烷;芳构化;氟化铵;HZSM-;氧化钼;负载型催化剂;积碳
城市复杂时空数据集成与空间决策模拟	杨辽;柳林;万庆;李强;李响	《科技资讯》	中国科学院新疆生态与地理研究所;中山大学;中国科学院地理科学与资源研究所;清华大学;华东师范大学;	2016	智慧城市;时空数据集成;高性能计算;动态模拟分析;决策模拟
《系列世界地图》及其应用与推广	郝晓光;徐汉卿;刘根友;汪冰;薛怀平;廖小韵;方剑;柳林涛;胡小刚	《地球物理学进展》	中国科学院测量与地球物理研究所	2007	系列世界地图;回顾;应用;推广
